Dataset,Model,Accuracy,F1,ROC_AUC,PR_AUC,Balanced_Accuracy,MCC,GMean,CV_F1_Mean,CV_ROC_AUC_Mean,CV_MCC_Mean,RankingScore
MACCS,SVM,0.821522309711286,0.7733333333333333,0.8917322834645669,0.7534371149943184,0.844488188976378,0.6523314720973238,0.8416729868700988,0.7726289263664609,0.8849052078218202,0.6510280739470605,0.7698315550772485
Combined,SVM,0.8398950131233596,0.779783393501805,0.9061938123876248,0.7788954404697912,0.8425196850393701,0.6609713434659001,0.8424828897697799,0.7624247075687702,0.8791844264011175,0.6342380955791664,0.7589966396215932
Morgan,SVM,0.8293963254593176,0.7636363636363637,0.898738297476595,0.7612603165153262,0.8287401574803149,0.6359056081417047,0.8287378195863557,0.7437960515008116,0.8683658322579662,0.6045330549569213,0.7393880867647908
MACCS,LogisticRegression,0.7926509186351706,0.7247386759581882,0.8646692293384587,0.7130615426545149,0.7992125984251968,0.5715739957163775,0.7989701350529651,0.7387971206179762,0.8784095873255146,0.595762737566532,0.7377705457148045
MACCS,XGBoost,0.7690288713910761,0.65625,0.8681257362514725,0.7165583040335136,0.7421259842519685,0.482386325468387,0.7377242631730211,0.7292314064308824,0.8708236359968178,0.591389648135227,0.7303565478119665
Morgan,NaiveBayes,0.7926509186351706,0.7322033898305085,0.8761547523095047,0.7560658101902739,0.8070866141732284,0.5831296952211337,0.805923879176314,0.7179094738411358,0.865252600865623,0.5610784075235784,0.7150630920532147
Combined,XGBoost,0.7926509186351706,0.680161943319838,0.8826337652675306,0.7367558519669015,0.7598425196850394,0.5274096316339225,0.7534408638680747,0.6966081954359289,0.8769373660549444,0.5427532380384051,0.7045504594023764
Combined,RandomForest,0.8083989501312336,0.7068273092369478,0.8809907619815239,0.6975622655405955,0.7795275590551181,0.5648635474763339,0.7747007166141003,0.6977903723754907,0.8630918782189637,0.5483396585041007,0.7025456099671156
MACCS,RandomForest,0.7847769028871391,0.672,0.8767902535805071,0.6968871791645905,0.7539370078740157,0.5120499213467565,0.7482386783121008,0.6968589897531678,0.8618678078880553,0.5466340847153719,0.7012941636822952
Combined,NaiveBayes,0.7769028871391076,0.7058823529411765,0.8637547275094549,0.7364801011812823,0.7834645669291338,0.5405899027195887,0.7832172283973672,0.6999086766313556,0.8586734272043122,0.5321263602095418,0.6972034068766984
Morgan,XGBoost,0.7952755905511811,0.6854838709677419,0.8768987537975075,0.7463355543695483,0.7637795275590551,0.5342080663051905,0.7579123622572057,0.6776603513160073,0.8662017597953566,0.5147378910919882,0.6853460357926064
Morgan,RandomForest,0.8057742782152231,0.6916666666666667,0.8733957467914936,0.6808929478906642,0.7677165354330708,0.5526081577278062,0.7591792625633984,0.6688574626292229,0.8457728006364651,0.509207431463532,0.6740370546816883
Combined,LogisticRegression,0.7952755905511811,0.6854838709677419,0.8763097526195053,0.7457292570004799,0.7637795275590551,0.5342080663051905,0.7579123622572057,0.6581588675459545,0.8583912965691033,0.48561867813316956,0.6664665394290636
Morgan,LogisticRegression,0.7847769028871391,0.6821705426356589,0.8632897265794532,0.7399251914543887,0.7618110236220472,0.5196740023344347,0.7586891005005294,0.6378599970669752,0.8414302324696138,0.4577247859872003,0.6448905043638342
MACCS,NaiveBayes,0.7217847769028871,0.6214285714285714,0.8180916361832724,0.6536732982688642,0.7125984251968505,0.4088797653818292,0.7120653158763093,0.6508850993149009,0.8227786285548969,0.4529631981824439,0.6430765877471626
